config_file,diameter,num_messages,num_robots,occupancy,real_diameter,simulator_time_us,trial
random_100_20_0.xml,11,2315,100,20,13,194942,0
random_100_20_1.xml,12,2329,100,20,12,193531,1
random_100_20_2.xml,15,2210,100,20,15,228614,2
random_100_20_3.xml,12,2506,100,20,12,187384,3
random_100_20_4.xml,12,2393,100,20,12,193501,4
random_100_20_5.xml,11,2408,100,20,11,190544,5
random_100_20_6.xml,15,2066,100,20,15,233089,6
random_100_20_7.xml,12,2397,100,20,12,211944,7
random_100_20_8.xml,12,2395,100,20,12,198208,8
random_100_20_9.xml,12,2538,100,20,12,193492,9
random_100_40_0.xml,12,2442,100,40,12,189012,0
random_100_40_1.xml,11,2471,100,40,11,179914,1
random_100_40_2.xml,12,2394,100,40,12,189030,2
random_100_40_3.xml,13,2475,100,40,13,201038,3
random_100_40_4.xml,12,2441,100,40,12,182808,4
random_100_40_5.xml,11,2487,100,40,12,181339,5
random_100_40_6.xml,12,2314,100,40,12,187379,6
random_100_40_7.xml,14,2528,100,40,14,220920,7
random_100_40_8.xml,9,2327,100,40,10,170766,8
random_100_40_9.xml,11,2438,100,40,11,176722,9
random_100_60_0.xml,8,2635,100,60,11,184695,0
random_100_60_1.xml,12,2649,100,60,12,188896,1
random_100_60_2.xml,14,2594,100,60,14,230110,2
random_100_60_3.xml,11,2551,100,60,11,172209,3
random_100_60_4.xml,10,2502,100,60,11,175407,4
random_100_60_5.xml,12,2697,100,60,12,188992,5
random_100_60_6.xml,14,2495,100,60,14,216295,6
random_100_60_7.xml,12,2731,100,60,12,202797,7
random_100_60_8.xml,13,2653,100,60,13,202695,8
random_100_60_9.xml,10,2597,100,60,10,169189,9
random_100_80_0.xml,11,2921,100,80,12,195139,0
random_100_80_1.xml,11,2780,100,80,12,204222,1
random_100_80_2.xml,11,2824,100,80,11,187450,2
random_100_80_3.xml,11,2823,100,80,11,185915,3
random_100_80_4.xml,9,2820,100,80,12,166082,4
random_100_80_5.xml,11,2809,100,80,12,195113,5
random_100_80_6.xml,10,2825,100,80,12,181341,6
random_100_80_7.xml,11,2839,100,80,11,185935,7
random_100_80_8.xml,11,2854,100,80,11,179897,8
random_100_80_9.xml,11,2903,100,80,12,181296,9
random_150_20_0.xml,14,3926,150,20,14,234788,0
random_150_20_1.xml,15,3810,150,20,15,239209,1
random_150_20_2.xml,11,3740,150,20,13,196468,2
random_150_20_3.xml,13,3998,150,20,13,205677,3
random_150_20_4.xml,14,3920,150,20,14,207205,4
random_150_20_5.xml,13,3759,150,20,13,205750,5
random_150_20_6.xml,12,4138,150,20,12,193520,6
random_150_20_7.xml,15,3891,150,20,15,234710,7
random_150_20_8.xml,14,3841,150,20,14,214835,8
random_150_20_9.xml,14,3717,150,20,14,234730,9
random_150_40_0.xml,11,4109,150,40,14,195174,0
random_150_40_1.xml,12,4031,150,40,15,204232,1
random_150_40_2.xml,16,4133,150,40,16,251429,2
random_150_40_3.xml,14,3794,150,40,14,223965,3
random_150_40_4.xml,13,3890,150,40,14,225577,4
random_150_40_5.xml,14,4195,150,40,14,225492,5
random_150_40_6.xml,11,3818,150,40,13,193497,6
random_150_40_7.xml,15,3831,150,40,15,248520,7
random_150_40_8.xml,11,4111,150,40,13,198102,8
random_150_40_9.xml,12,3939,150,40,14,228822,9
random_150_60_0.xml,13,4064,150,60,13,216406,0
random_150_60_1.xml,13,3907,150,60,14,222575,1
random_150_60_2.xml,13,4050,150,60,14,224186,2
random_150_60_3.xml,15,4120,150,60,16,266668,3
random_150_60_4.xml,9,4224,150,60,13,208736,4
random_150_60_5.xml,12,4157,150,60,13,195031,5
random_150_60_6.xml,15,4035,150,60,15,234689,6
random_150_60_7.xml,14,4227,150,60,14,228563,7
random_150_60_8.xml,11,4172,150,60,13,184397,8
random_150_60_9.xml,12,3967,150,60,14,202786,9
random_150_80_0.xml,11,4432,150,80,13,210463,0
random_150_80_1.xml,13,4402,150,80,13,228631,1
random_150_80_2.xml,12,4509,150,80,13,207283,2
random_150_80_3.xml,13,4383,150,80,13,214813,3
random_150_80_4.xml,13,4353,150,80,14,216388,4
random_150_80_5.xml,13,4386,150,80,14,233165,5
random_150_80_6.xml,13,4384,150,80,13,224035,6
random_150_80_7.xml,12,4285,150,80,14,195028,7
random_150_80_8.xml,12,4331,150,80,14,204050,8
random_150_80_9.xml,12,4353,150,80,14,221008,9
random_200_20_0.xml,16,5290,200,20,16,260654,0
random_200_20_1.xml,14,5300,200,20,16,227135,1
random_200_20_2.xml,14,5414,200,20,14,231767,2
random_200_20_3.xml,16,5403,200,20,16,258984,3
random_200_20_4.xml,17,5351,200,20,17,249692,4
random_200_20_5.xml,15,5514,200,20,16,251356,5
random_200_20_6.xml,16,5575,200,20,16,251284,6
random_200_20_7.xml,16,5434,200,20,16,256005,7
random_200_20_8.xml,14,5587,200,20,16,232923,8
random_200_20_9.xml,15,5495,200,20,15,237680,9
random_200_40_0.xml,15,5371,200,40,16,255930,0
random_200_40_1.xml,14,5499,200,40,16,257534,1
random_200_40_2.xml,14,5395,200,40,15,222498,2
random_200_40_3.xml,14,5540,200,40,16,231719,3
random_200_40_4.xml,16,5789,200,40,17,278840,4
random_200_40_5.xml,15,5574,200,40,15,236129,5
random_200_40_6.xml,18,5804,200,40,18,269564,6
random_200_40_7.xml,14,5730,200,40,14,217920,7
random_200_40_8.xml,15,5669,200,40,15,239192,8
random_200_40_9.xml,14,5512,200,40,15,249873,9
random_200_60_0.xml,17,5690,200,60,17,268248,0
random_200_60_1.xml,15,5811,200,60,15,229986,1
random_200_60_2.xml,14,5796,200,60,14,231593,2
random_200_60_3.xml,16,5719,200,60,16,251347,3
random_200_60_4.xml,15,5703,200,60,16,243752,4
random_200_60_5.xml,12,5874,200,60,15,205802,5
random_200_60_6.xml,14,5862,200,60,16,230055,6
random_200_60_7.xml,17,5866,200,60,17,255961,7
random_200_60_8.xml,14,5794,200,60,14,222380,8
random_200_60_9.xml,14,5892,200,60,14,231606,9
random_200_80_0.xml,14,5813,200,80,15,236224,0
random_200_80_1.xml,14,5845,200,80,15,231639,1
random_200_80_2.xml,14,5864,200,80,16,254488,2
random_200_80_3.xml,17,5701,200,80,17,239087,3
